|    |   pix0 |   pix1 |   pix2 |   pix3 |   pix4 |   pix5 |   pix6 |   pix7 |   pix8 |   pix9 |   pix10 |   pix11 |   pix12 |   pix13 |   pix14 |   pix15 |   pix16 |   pix17 |   pix18 |   pix19 |   pix20 |   pix21 |   pix22 |   pix23 |   pix24 |   pix25 |   pix26 |   pix27 |   pix28 |   pix29 |   pix30 |   pix31 |   pix32 |   pix33 |   pix34 |   pix35 |   pix36 |   pix37 |   pix38 |   pix39 |   pix40 |   pix41 |   pix42 |   pix43 |   pix44 |   pix45 |   pix46 |   pix47 |   pix48 |   pix49 |   pix50 |   pix51 |   pix52 |   pix53 |   pix54 |   pix55 |   pix56 |   pix57 |   pix58 |   pix59 |   pix60 |   pix61 |   pix62 |   pix63 |   label |
|  9 |      0 |      0 |     11 |     12 |      0 |      0 |      0 |      0 |      0 |      2 |      16 |      16 |      16 |      13 |       0 |       0 |       0 |       3 |      16 |      12 |      10 |      14 |       0 |       0 |       0 |       1 |      16 |       1 |      12 |      15 |       0 |       0 |       0 |       0 |      13 |      16 |       9 |      15 |       2 |       0 |       0 |       0 |       0 |       3 |       0 |       9 |      11 |       0 |       0 |       0 |       0 |       0 |       9 |      15 |       4 |       0 |       0 |       0 |       9 |      12 |      13 |       3 |       0 |       0 |       9 |
| 10 |      0 |      0 |      1 |      9 |     15 |     11 |      0 |      0 |      0 |      0 |      11 |      16 |       8 |      14 |       6 |       0 |       0 |       2 |      16 |      10 |       0 |       9 |       9 |       0 |       0 |       1 |      16 |       4 |       0 |       8 |       8 |       0 |       0 |       4 |      16 |       4 |       0 |       8 |       8 |       0 |       0 |       1 |      16 |       5 |       1 |      11 |       3 |       0 |       0 |       0 |      12 |      12 |      10 |      10 |       0 |       0 |       0 |       0 |       1 |      10 |      13 |       3 |       0 |       0 |       0 |
| 11 |      0 |      0 |      0 |      0 |     14 |     13 |      1 |      0 |      0 |      0 |       0 |       5 |      16 |      16 |       2 |       0 |       0 |       0 |       0 |      14 |      16 |      12 |       0 |       0 |       0 |       1 |      10 |      16 |      16 |      12 |       0 |       0 |       0 |       3 |      12 |      14 |      16 |       9 |       0 |       0 |       0 |       0 |       0 |       5 |      16 |      15 |       0 |       0 |       0 |       0 |       0 |       4 |      16 |      14 |       0 |       0 |       0 |       0 |       0 |       1 |      13 |      16 |       1 |       0 |       1 |
| 12 |      0 |      0 |      5 |     12 |      1 |      0 |      0 |      0 |      0 |      0 |      15 |      14 |       7 |       0 |       0 |       0 |       0 |       0 |      13 |       1 |      12 |       0 |       0 |       0 |       0 |       2 |      10 |       0 |      14 |       0 |       0 |       0 |       0 |       0 |       2 |       0 |      16 |       1 |       0 |       0 |       0 |       0 |       0 |       6 |      15 |       0 |       0 |       0 |       0 |       0 |       9 |      16 |      15 |       9 |       8 |       2 |       0 |       0 |       3 |      11 |       8 |      13 |      12 |       4 |       2 |
| 13 |      0 |      2 |      9 |     15 |     14 |      9 |      3 |      0 |      0 |      4 |      13 |       8 |       9 |      16 |       8 |       0 |       0 |       0 |       0 |       6 |      14 |      15 |       3 |       0 |       0 |       0 |       0 |      11 |      14 |       2 |       0 |       0 |       0 |       0 |       0 |       2 |      15 |      11 |       0 |       0 |       0 |       0 |       0 |       0 |       2 |      15 |       4 |       0 |       0 |       1 |       5 |       6 |      13 |      16 |       6 |       0 |       0 |       2 |      12 |      12 |      13 |      11 |       0 |       0 |       3 |
| 14 |      0 |      0 |      0 |      8 |     15 |      1 |      0 |      0 |      0 |      0 |       1 |      14 |      13 |       1 |       1 |       0 |       0 |       0 |      10 |      15 |       3 |      15 |      11 |       0 |       0 |       7 |      16 |       7 |       1 |      16 |       8 |       0 |       0 |       9 |      16 |      13 |      14 |      16 |       5 |       0 |       0 |       1 |      10 |      15 |      16 |      14 |       0 |       0 |       0 |       0 |       0 |       1 |      16 |      10 |       0 |       0 |       0 |       0 |       0 |      10 |      15 |       4 |       0 |       0 |       4 |
| 15 |      0 |      5 |     12 |     13 |     16 |     16 |      2 |      0 |      0 |     11 |      16 |      15 |       8 |       4 |       0 |       0 |       0 |       8 |      14 |      11 |       1 |       0 |       0 |       0 |       0 |       8 |      16 |      16 |      14 |       0 |       0 |       0 |       0 |       1 |       6 |       6 |      16 |       0 |       0 |       0 |       0 |       0 |       0 |       5 |      16 |       3 |       0 |       0 |       0 |       1 |       5 |      15 |      13 |       0 |       0 |       0 |       0 |       4 |      15 |      16 |       2 |       0 |       0 |       0 |       5 |
| 16 |      0 |      0 |      0 |      8 |     15 |      1 |      0 |      0 |      0 |      0 |       0 |      12 |      14 |       0 |       0 |       0 |       0 |       0 |       3 |      16 |       7 |       0 |       0 |       0 |       0 |       0 |       6 |      16 |       2 |       0 |       0 |       0 |       0 |       0 |       7 |      16 |      16 |      13 |       5 |       0 |       0 |       0 |      15 |      16 |       9 |       9 |      14 |       0 |       0 |       0 |       3 |      14 |       9 |       2 |      16 |       2 |       0 |       0 |       0 |       7 |      15 |      16 |      11 |       0 |       6 |
| 17 |      0 |      0 |      1 |      8 |     15 |     10 |      0 |      0 |      0 |      3 |      13 |      15 |      14 |      14 |       0 |       0 |       0 |       5 |      10 |       0 |      10 |      12 |       0 |       0 |       0 |       0 |       3 |       5 |      15 |      10 |       2 |       0 |       0 |       0 |      16 |      16 |      16 |      16 |      12 |       0 |       0 |       1 |       8 |      12 |      14 |       8 |       3 |       0 |       0 |       0 |       0 |      10 |      13 |       0 |       0 |       0 |       0 |       0 |       0 |      11 |       9 |       0 |       0 |       0 |       7 |
| 18 |      0 |      0 |     10 |      7 |     13 |      9 |      0 |      0 |      0 |      0 |       9 |      10 |      12 |      15 |       2 |       0 |       0 |       0 |       4 |      11 |      10 |      11 |       0 |       0 |       0 |       0 |       1 |      16 |      10 |       1 |       0 |       0 |       0 |       0 |      12 |      13 |       4 |       0 |       0 |       0 |       0 |       0 |      12 |       1 |      12 |       0 |       0 |       0 |       0 |       1 |      10 |       2 |      14 |       0 |       0 |       0 |       0 |       0 |      11 |      14 |       5 |       0 |       0 |       0 |       8 |
| 19 |      0 |      0 |      6 |     14 |      4 |      0 |      0 |      0 |      0 |      0 |      11 |      16 |      10 |       0 |       0 |       0 |       0 |       0 |       8 |      14 |      16 |       2 |       0 |       0 |       0 |       0 |       1 |      12 |      12 |      11 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |      11 |       3 |       0 |       0 |       0 |       0 |       0 |       0 |       5 |      11 |       0 |       0 |       0 |       1 |       4 |       4 |       7 |      16 |       2 |       0 |       0 |       7 |      16 |      16 |      13 |      11 |       1 |       9 |
| 20 |      0 |      0 |      3 |     13 |     11 |      7 |      0 |      0 |      0 |      0 |      11 |      16 |      16 |      16 |       2 |       0 |       0 |       4 |      16 |       9 |       1 |      14 |       2 |       0 |       0 |       4 |      16 |       0 |       0 |      16 |       2 |       0 |       0 |       0 |      16 |       1 |       0 |      12 |       8 |       0 |       0 |       0 |      15 |       9 |       0 |      13 |       6 |       0 |       0 |       0 |       9 |      14 |       9 |      14 |       1 |       0 |       0 |       0 |       2 |      12 |      13 |       4 |       0 |       0 |       0 |
| 21 |      0 |      0 |      0 |      2 |     16 |     16 |      2 |      0 |      0 |      0 |       0 |       4 |      16 |      16 |       2 |       0 |       0 |       1 |       4 |      12 |      16 |      12 |       0 |       0 |       0 |       7 |      16 |      16 |      16 |      12 |       0 |       0 |       0 |       0 |       3 |      10 |      16 |      14 |       0 |       0 |       0 |       0 |       0 |       8 |      16 |      12 |       0 |       0 |       0 |       0 |       0 |       6 |      16 |      16 |       2 |       0 |       0 |       0 |       0 |       2 |      12 |      15 |       4 |       0 |       1 |
| 22 |      0 |      0 |      8 |     16 |      5 |      0 |      0 |      0 |      0 |      1 |      13 |      11 |      16 |       0 |       0 |       0 |       0 |       0 |      10 |       0 |      13 |       3 |       0 |       0 |       0 |       0 |       3 |       1 |      16 |       1 |       0 |       0 |       0 |       0 |       0 |       9 |      12 |       0 |       0 |       0 |       0 |       0 |       3 |      15 |       5 |       0 |       0 |       0 |       0 |       0 |      14 |      15 |       8 |       8 |       3 |       0 |       0 |       0 |       7 |      12 |      12 |      12 |      13 |       1 |       2 |
| 23 |      0 |      1 |      8 |     12 |     15 |     14 |      4 |      0 |      0 |      3 |      11 |       8 |       8 |      12 |      12 |       0 |       0 |       0 |       0 |       0 |       2 |      13 |       7 |       0 |       0 |       0 |       0 |       2 |      15 |      12 |       1 |       0 |       0 |       0 |       0 |       0 |      13 |       5 |       0 |       0 |       0 |       0 |       0 |       0 |       9 |      13 |       0 |       0 |       0 |       0 |       7 |       8 |      14 |      15 |       0 |       0 |       0 |       0 |      14 |      15 |      11 |       2 |       0 |       0 |       3 |
| 24 |      0 |      0 |      0 |      0 |     12 |      2 |      0 |      0 |      0 |      0 |       0 |       6 |      14 |       1 |       0 |       0 |       0 |       0 |       4 |      16 |       7 |       8 |       0 |       0 |       0 |       0 |      13 |       9 |       0 |      16 |       6 |       0 |       0 |       6 |      16 |      10 |      11 |      16 |       0 |       0 |       0 |       0 |       5 |      10 |      13 |      16 |       0 |       0 |       0 |       0 |       0 |       0 |       6 |      16 |       0 |       0 |       0 |       0 |       0 |       0 |      12 |       8 |       0 |       0 |       4 |
| 25 |      0 |      0 |     12 |      8 |      8 |      7 |      0 |      0 |      0 |      3 |      16 |      16 |      11 |       7 |       0 |       0 |       0 |       2 |      14 |       1 |       0 |       0 |       0 |       0 |       0 |       5 |      14 |       5 |       0 |       0 |       0 |       0 |       0 |       2 |      15 |      16 |       9 |       0 |       0 |       0 |       0 |       0 |       0 |       2 |      16 |       2 |       0 |       0 |       0 |       0 |       4 |       8 |      16 |       4 |       0 |       0 |       0 |       0 |      11 |      14 |       9 |       0 |       0 |       0 |       5 |
| 26 |      0 |      0 |      1 |     13 |     14 |      3 |      0 |      0 |      0 |      0 |       8 |      16 |      13 |       2 |       0 |       0 |       0 |       2 |      16 |      16 |       3 |       0 |       0 |       0 |       0 |       3 |      16 |      12 |       1 |       0 |       0 |       0 |       0 |       5 |      16 |      14 |       5 |       0 |       0 |       0 |       0 |       3 |      16 |      16 |      16 |      16 |       6 |       0 |       0 |       1 |      14 |      16 |      16 |      16 |      12 |       0 |       0 |       0 |       3 |      12 |      15 |      14 |       7 |       0 |       6 |
| 27 |      0 |      0 |      0 |      8 |     14 |     14 |      2 |      0 |      0 |      0 |       0 |       6 |      10 |      15 |      11 |       0 |       0 |       0 |       0 |       0 |       0 |      14 |      10 |       0 |       0 |       2 |       8 |      11 |      12 |      16 |       8 |       0 |       0 |       8 |      16 |      16 |      16 |      16 |       7 |       0 |       0 |       0 |       0 |       0 |      11 |      15 |       1 |       0 |       0 |       0 |       0 |       9 |      16 |       7 |       0 |       0 |       0 |       0 |       0 |      12 |      13 |       1 |       0 |       0 |       7 |
| 28 |      0 |      0 |     10 |     11 |      4 |      0 |      0 |      0 |      0 |      0 |      10 |      15 |      13 |      13 |       1 |       0 |       0 |       0 |       8 |      11 |       0 |      14 |       4 |       0 |       0 |       0 |       0 |      13 |      15 |      13 |       0 |       0 |       0 |       1 |      11 |      16 |      16 |       0 |       0 |       0 |       0 |       1 |      15 |       3 |       9 |      10 |       0 |       0 |       0 |       0 |      14 |       6 |      15 |      10 |       0 |       0 |       0 |       0 |       8 |      14 |       7 |       1 |       0 |       0 |       8 |
| 29 |      0 |      0 |      9 |     13 |      7 |      0 |      0 |      0 |      0 |      0 |      12 |      16 |      16 |       2 |       0 |       0 |       0 |       0 |      12 |      13 |      16 |       6 |       0 |       0 |       0 |       0 |       6 |      16 |      16 |      14 |       0 |       0 |       0 |       0 |       0 |       0 |       2 |      16 |       3 |       0 |       0 |       0 |       0 |       0 |       0 |       9 |      10 |       0 |       0 |       0 |       3 |       7 |      12 |      14 |      16 |       2 |       0 |       0 |       7 |      12 |      12 |      12 |      11 |       0 |       9 |
| 30 |      0 |      0 |     10 |     14 |     11 |      3 |      0 |      0 |      0 |      4 |      16 |      13 |       6 |      14 |       1 |       0 |       0 |       4 |      16 |       2 |       0 |      11 |       7 |       0 |       0 |       8 |      16 |       0 |       0 |      10 |       5 |       0 |       0 |       8 |      16 |       0 |       0 |      14 |       4 |       0 |       0 |       8 |      16 |       0 |       1 |      16 |       1 |       0 |       0 |       4 |      16 |       1 |      11 |      15 |       0 |       0 |       0 |       0 |      11 |      16 |      12 |       3 |       0 |       0 |       0 |
| 31 |      0 |      0 |      2 |     13 |      8 |      0 |      0 |      0 |      0 |      0 |       6 |      16 |      16 |       6 |       0 |       0 |       0 |       0 |       5 |      15 |      13 |      11 |       0 |       0 |       0 |       0 |       0 |       7 |      16 |      15 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |      14 |       3 |       0 |       0 |       0 |       0 |       0 |       0 |       7 |      11 |       0 |       0 |       0 |       0 |       3 |       4 |       4 |      16 |       2 |       0 |       0 |       2 |      15 |      13 |      14 |      13 |       2 |       9 |
| 32 |      0 |      2 |     13 |     16 |     16 |     16 |     11 |      0 |      0 |      5 |      16 |      10 |       5 |       4 |       1 |       0 |       0 |       6 |      16 |       7 |       3 |       0 |       0 |       0 |       0 |       9 |      16 |      16 |      16 |       6 |       0 |       0 |       0 |       3 |       8 |       4 |      11 |      15 |       0 |       0 |       0 |       0 |       0 |       1 |      12 |      15 |       0 |       0 |       0 |       0 |       4 |      13 |      16 |       6 |       0 |       0 |       0 |       2 |      16 |      15 |       8 |       0 |       0 |       0 |       5 |
| 33 |      0 |      6 |     13 |      5 |      8 |      8 |      1 |      0 |      0 |      8 |      16 |      16 |      16 |      16 |       6 |       0 |       0 |       6 |      16 |       9 |       6 |       4 |       0 |       0 |       0 |       6 |      16 |      16 |      15 |       5 |       0 |       0 |       0 |       0 |       4 |       5 |      15 |      12 |       0 |       0 |       0 |       0 |       0 |       3 |      16 |       9 |       0 |       0 |       0 |       1 |       8 |      13 |      15 |       3 |       0 |       0 |       0 |       4 |      16 |      15 |       3 |       0 |       0 |       0 |       5 |
| 34 |      0 |      0 |      0 |      5 |     14 |      2 |      0 |      0 |      0 |      0 |       1 |      13 |      11 |       0 |       0 |       0 |       0 |       0 |       5 |      16 |       2 |       0 |       0 |       0 |       0 |       0 |       6 |      15 |       5 |       0 |       0 |       0 |       0 |       1 |      15 |      16 |      15 |      11 |       1 |       0 |       0 |       2 |      13 |      14 |       1 |      12 |       9 |       0 |       0 |       0 |       4 |      16 |       7 |      13 |       9 |       0 |       0 |       0 |       0 |       5 |      16 |      15 |       3 |       0 |       6 |
| 35 |      0 |      3 |     15 |      8 |      8 |      6 |      0 |      0 |      0 |      4 |      16 |      16 |      16 |      13 |       2 |       0 |       0 |       3 |      16 |       9 |       2 |       0 |       0 |       0 |       0 |       2 |      16 |      16 |      15 |       3 |       0 |       0 |       0 |       0 |       7 |       6 |      12 |       9 |       0 |       0 |       0 |       0 |       0 |       1 |      14 |      10 |       0 |       0 |       0 |       0 |       5 |      14 |      15 |       2 |       0 |       0 |       0 |       1 |      15 |      14 |       1 |       0 |       0 |       0 |       5 |
| 36 |      0 |      0 |      6 |     14 |     10 |      2 |      0 |      0 |      0 |      0 |      15 |      15 |      13 |      15 |       3 |       0 |       0 |       2 |      16 |      10 |       0 |      13 |       9 |       0 |       0 |       1 |      16 |       5 |       0 |      12 |       5 |       0 |       0 |       0 |      16 |       3 |       0 |      13 |       6 |       0 |       0 |       1 |      15 |       5 |       6 |      13 |       1 |       0 |       0 |       0 |      16 |      11 |      14 |      10 |       0 |       0 |       0 |       0 |       7 |      16 |      11 |       1 |       0 |       0 |       0 |
| 37 |      0 |      0 |     13 |     10 |      1 |      0 |      0 |      0 |      0 |      5 |      16 |      14 |       7 |       0 |       0 |       0 |       0 |       4 |      16 |       8 |      14 |       0 |       0 |       0 |       0 |       2 |      14 |      16 |      16 |       6 |       0 |       0 |       0 |       0 |       1 |       4 |       9 |      13 |       1 |       0 |       0 |       0 |       0 |       0 |       0 |      13 |       6 |       0 |       0 |       0 |       5 |       8 |       5 |       9 |      14 |       0 |       0 |       0 |      13 |      13 |      15 |      16 |      13 |       0 |       9 |
| 38 |      0 |      0 |      7 |      7 |     13 |     16 |      4 |      0 |      0 |      0 |      13 |      13 |       6 |      12 |       7 |       0 |       0 |       0 |      10 |       4 |      10 |      11 |       1 |       0 |       0 |       0 |       8 |      16 |      10 |       0 |       0 |       0 |       0 |       3 |      14 |      16 |       0 |       0 |       0 |       0 |       0 |       8 |       8 |      11 |       5 |       0 |       0 |       0 |       0 |       4 |      10 |       9 |       8 |       0 |       0 |       0 |       0 |       1 |      11 |      16 |       6 |       0 |       0 |       0 |       8 |
| 39 |      0 |      1 |      9 |     16 |     13 |      7 |      0 |      0 |      0 |      7 |      14 |       4 |      10 |      12 |       0 |       0 |       0 |       6 |      15 |       9 |      16 |      11 |       0 |       0 |       0 |       0 |       9 |      11 |       7 |      14 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |      15 |       2 |       0 |       0 |       0 |       0 |       0 |       0 |      11 |       6 |       0 |       0 |       3 |      13 |       8 |       5 |      14 |       5 |       0 |       0 |       0 |       9 |      14 |      13 |      10 |       1 |       0 |       9 |
| 40 |      0 |      0 |     11 |     10 |     12 |      4 |      0 |      0 |      0 |      0 |      12 |      13 |       9 |      16 |       1 |       0 |       0 |       0 |       7 |      13 |      11 |      16 |       0 |       0 |       0 |       0 |       1 |      16 |      14 |       4 |       0 |       0 |       0 |       0 |      10 |      16 |      13 |       0 |       0 |       0 |       0 |       0 |      14 |       7 |      12 |       7 |       0 |       0 |       0 |       4 |      14 |       4 |      12 |      13 |       0 |       0 |       0 |       1 |      11 |      14 |      12 |       4 |       0 |       0 |       8 |
| 41 |      0 |      0 |      0 |      9 |     15 |      1 |      0 |      0 |      0 |      0 |       4 |      16 |      12 |       0 |       0 |       0 |       0 |       0 |      15 |      14 |       2 |      11 |       3 |       0 |       0 |       4 |      16 |       9 |       4 |      16 |      10 |       0 |       0 |       9 |      16 |      11 |      13 |      16 |       2 |       0 |       0 |       0 |       9 |      16 |      16 |      14 |       0 |       0 |       0 |       0 |       0 |       8 |      16 |       6 |       0 |       0 |       0 |       0 |       0 |       9 |      16 |       2 |       0 |       0 |       4 |
| 42 |      0 |      0 |      0 |      0 |     12 |      5 |      0 |      0 |      0 |      0 |       0 |       2 |      16 |      12 |       0 |       0 |       0 |       0 |       1 |      12 |      16 |      11 |       0 |       0 |       0 |       2 |      12 |      16 |      16 |      10 |       0 |       0 |       0 |       6 |      11 |       5 |      15 |       6 |       0 |       0 |       0 |       0 |       0 |       1 |      16 |       9 |       0 |       0 |       0 |       0 |       0 |       2 |      16 |      11 |       0 |       0 |       0 |       0 |       0 |       3 |      16 |       8 |       0 |       0 |       1 |
| 43 |      0 |      0 |      0 |      9 |     15 |     12 |      0 |      0 |      0 |      0 |       4 |       7 |       7 |      14 |       0 |       0 |       0 |       0 |       0 |       0 |       0 |      13 |       3 |       0 |       0 |       4 |       9 |       8 |      10 |      13 |       1 |       0 |       0 |       4 |      16 |      15 |      16 |      16 |       6 |       0 |       0 |       0 |       0 |       0 |      14 |       3 |       0 |       0 |       0 |       0 |       0 |       9 |      12 |       0 |       0 |       0 |       0 |       0 |       0 |      11 |       7 |       0 |       0 |       0 |       7 |
| 44 |      0 |      0 |      9 |     16 |     16 |     16 |      5 |      0 |      0 |      1 |      14 |      10 |       8 |      16 |       8 |       0 |       0 |       0 |       0 |       0 |       7 |      16 |       3 |       0 |       0 |       3 |       8 |      11 |      15 |      16 |      11 |       0 |       0 |       8 |      16 |      16 |      15 |      11 |       3 |       0 |       0 |       0 |       2 |      16 |       7 |       0 |       0 |       0 |       0 |       0 |       8 |      16 |       1 |       0 |       0 |       0 |       0 |       0 |      13 |      10 |       0 |       0 |       0 |       0 |       7 |
| 45 |      0 |      0 |      9 |     16 |     13 |      6 |      0 |      0 |      0 |      0 |       6 |       5 |      16 |      16 |       0 |       0 |       0 |       0 |       0 |       8 |      15 |       5 |       0 |       0 |       0 |       0 |       0 |       5 |      14 |       3 |       0 |       0 |       0 |       0 |       0 |       0 |       9 |      15 |       2 |       0 |       0 |       0 |       0 |       0 |       0 |      11 |      12 |       0 |       0 |       0 |       4 |       8 |      11 |      15 |      12 |       0 |       0 |       0 |      11 |      14 |      12 |       8 |       0 |       0 |       3 |
| 46 |      0 |      1 |     15 |      4 |      0 |      0 |      0 |      0 |      0 |      2 |      16 |      16 |      16 |      14 |       2 |       0 |       0 |       6 |      16 |      11 |       8 |       8 |       3 |       0 |       0 |       5 |      16 |      11 |       5 |       0 |       0 |       0 |       0 |       0 |      11 |      14 |      14 |       1 |       0 |       0 |       0 |       0 |       0 |       5 |      16 |       7 |       0 |       0 |       0 |       0 |       6 |      16 |      16 |       4 |       0 |       0 |       0 |       0 |      14 |      14 |       4 |       0 |       0 |       0 |       5 |
| 47 |      0 |      0 |      0 |      1 |     11 |      9 |      0 |      0 |      0 |      0 |       0 |       7 |      16 |      13 |       0 |       0 |       0 |       0 |       4 |      14 |      16 |       9 |       0 |       0 |       0 |      10 |      16 |      11 |      16 |       8 |       0 |       0 |       0 |       0 |       0 |       3 |      16 |       6 |       0 |       0 |       0 |       0 |       0 |       3 |      16 |       8 |       0 |       0 |       0 |       0 |       0 |       5 |      16 |      10 |       0 |       0 |       0 |       0 |       0 |       2 |      14 |       6 |       0 |       0 |       1 |
